rank,total_score,CountryName,Country,Code,Region,IncomeGroup,research_weight,responsible_weight,economy_weight,talent_weight,policy_weight,publicOpinion_weight,infrastructure_weight,region
2,36.94963730079688,China,CN,CHN,East Asia & Pacific,Upper middle income,17.22397482964539,2.225543929444445,1.9575611336608183,5.702563145714286,0.2546506925541666,3.183118146444444,6.402225423333332,
3,21.58727251718209,India,IN,IND,South Asia,Lower middle income,7.130053365713947,0.3487792725555555,0.8503944097777777,9.124255521047616,0.1127919320624999,3.367500504222221,0.653497511802469,
4,17.23559386543124,South Korea,KR,KOR,East Asia & Pacific,High income,1.8795000935165485,0.1245640258888888,0.6524172437894737,4.960016267619047,1.802459306444444,3.5887619588888886,4.227874969283949,
6,16.433063151445833,Singapore,SG,SGP,East Asia & Pacific,High income,1.5071381316737589,0.3238664673888888,0.4734939223859649,9.307299326666664,0.5639596602083332,1.729340384622222,2.527965258499999,
9,16.035594230687373,Japan,JP,JPN,East Asia & Pacific,High income,1.4975637337706855,0.2989536621666666,0.5114286404678362,5.702563145714286,0.2123142249999999,2.3064556528888884,5.50631517067901,
1,78.6007065079226,United States,US,USA,North America,High income,19.14853447080378,5.555555555555555,22.22222222222222,8.41138534333333,4.221956829513888,2.8282828282222217,16.2127692582716,
10,15.56205259236294,Canada,CA,CAN,North America,High income,1.7940462406219857,0.4567347616666666,0.809904507239766,7.943843925476188,0.3450106156249999,1.023153563511111,3.189358978222222,
16,12.735072164475971,Brazil,BR,BRA,Latin America & Caribbean,Upper middle income,0.8113175162271867,0.1245640258888888,0.2406975459532163,6.497036098809522,0.1194267515833333,2.824077961575555,2.117952264438271,
32,8.2313471772107,Mexico,MX,MEX,Latin America & Caribbean,Upper middle income,0.2406783681063829,0.0,0.040356831219883,5.023511865428571,0.2388535031249999,2.077441070022222,0.6105055393086418,
5,16.63659125920241,United Kingdom,GB,GBR,Europe & Central Asia,High income,2.573383149146572,0.5563859822222222,1.622565772865497,5.480909085952379,2.5256546354861107,1.2447394541777776,2.6329531793518512,
7,16.37386042138482,Spain,ES,ESP,Europe & Central Asia,High income,0.8237905866394799,0.0166085367888888,0.220473832,5.5049383209523794,3.5714285715277776,2.138146572291111,4.098474001185184,
8,16.061526588654512,United Arab Emirates,AE,ARE,Middle East & North Africa,High income,0.3635561255432624,0.0747384155555555,0.2685678387672514,7.579455428095235,0.6884415126388888,2.3337741694000003,4.752993098654319,
11,14.86176650079058,Switzerland,CH,CHE,Europe & Central Asia,High income,0.520012330480851,0.2325195150555555,0.2617824887953216,7.628078884047617,0.2322186837499999,1.797766127148889,4.189388471512345,
12,14.72697775331051,Luxembourg,LU,LUX,Europe & Central Asia,High income,0.0188067034433806,0.0249128051833333,0.0386596374561403,8.652657919999998,0.2480158730208332,2.234924385601889,3.5090004286049368,
24,11.207116028235092,Australia,AU,AUS,East Asia & Pacific,High income,1.2286087020295509,0.1909981730555555,0.2714682242339181,5.82345525642857,1.064098675520833,1.333923778133333,1.294563218833333,APAC
