Date,Month Year,Total number of people in the tech sector
2006-08-01,August 2006,147700.0
2006-11-01,November 2006,137800.0
2007-02-01,February 2007,131300.0
2007-05-01,May 2007,146600.0
2007-08-01,August 2007,155000.0
2007-11-01,November 2007,155400.0
2008-02-01,February 2008,151100.0
2008-05-01,May 2008,147400.0
2008-08-01,August 2008,164100.0
2008-11-01,November 2008,146100.0
2009-02-01,February 2009,142500.0
2009-05-01,May 2009,149500.0
2009-08-01,August 2009,155000.0
2009-11-01,November 2009,160000.0
2010-02-01,February 2010,166600.0
2010-05-01,May 2010,159800.0
2010-08-01,August 2010,163800.0
2010-11-01,November 2010,157200.0
2011-02-01,February 2011,174900.0
2011-05-01,May 2011,168600.0
2011-08-01,August 2011,166000.0
2011-11-01,November 2011,170400.0
2012-02-01,February 2012,165600.0
2012-05-01,May 2012,175800.0
2012-08-01,August 2012,184700.0
2012-11-01,November 2012,185400.0
2013-02-01,February 2013,174600.0
2013-05-01,May 2013,185100.0
2013-08-01,August 2013,182000.0
2013-11-01,November 2013,164700.0
2014-02-01,February 2014,179000.0
2014-05-01,May 2014,190800.0
2014-08-01,August 2014,215800.0
2014-11-01,November 2014,188600.0
2015-02-01,February 2015,189000.0
2015-05-01,May 2015,209700.0
2015-08-01,August 2015,207600.0
2015-11-01,November 2015,196600.0
2016-02-01,February 2016,200000.0
2016-05-01,May 2016,202500.0
2016-08-01,August 2016,202700.0
2016-11-01,November 2016,207300.0
2017-02-01,February 2017,206600.0
2017-05-01,May 2017,218600.0
2017-08-01,August 2017,216900.0
2017-11-01,November 2017,216200.0
2018-02-01,February 2018,238500.0
2018-05-01,May 2018,251100.0
2018-08-01,August 2018,259100.0
2018-11-01,November 2018,230500.0
2019-02-01,February 2019,241200.0
2019-05-01,May 2019,233300.0
2019-08-01,August 2019,237800.0
2019-11-01,November 2019,230200.0
2020-02-01,February 2020,264600.0
2020-05-01,May 2020,254000.0
2020-08-01,August 2020,253400.0
2020-11-01,November 2020,271900.0
2021-02-01,February 2021,282700.0
2021-05-01,May 2021,257700.0
2021-08-01,August 2021,246600.0
2021-11-01,November 2021,270500.0
2022-02-01,February 2022,289100.0
2022-05-01,May 2022,290000.0
2022-08-01,August 2022,298500.0
2022-11-01,November 2022,308600.0
2023-02-01,February 2023,286000.0
2023-05-01,May 2023,280400.0
2023-08-01,August 2023,301800.0
2023-11-01,November 2023,291600.0
2024-02-01,February 2024,302700.0
2024-05-01,May 2024,323200.0
2024-08-01,August 2024,307000.0
2024-11-01,November 2024,285300.0
2025-02-01,February 2025,272600.0
2025-05-01,May 2025,303000.0
2025-08-01,August 2025,296600.0
2025-11-01,November 2025,318100.0
