Sector,movement_type,manager_type,Men,Women
Direct Tech Sector Companies,Promotions,Mid to entry level management,1647,865
Direct Tech Sector Companies,Promotions,Non-managers,5218,2880
Direct Tech Sector Companies,Promotions,Top level management,147,63
Direct Tech Sector Companies,Internal appointments,Mid to entry level management,994,463
Direct Tech Sector Companies,Internal appointments,Non-managers,3374,1941
Direct Tech Sector Companies,Internal appointments,Top level management,90,42
Direct Tech Sector Companies,External appointments,Mid to entry level management,1406,710
Direct Tech Sector Companies,External appointments,Non-managers,11146,6215
Direct Tech Sector Companies,External appointments,Top level management,145,64
Australian Average,Promotions,Mid to entry level management,44233,40539
Australian Average,Promotions,Non-managers,133804,126366
Australian Average,Promotions,Top level management,2916,2371
Australian Average,Internal appointments,Mid to entry level management,32465,31595
Australian Average,Internal appointments,Non-managers,183293,222004
Australian Average,Internal appointments,Top level management,1334,1085
Australian Average,External appointments,Mid to entry level management,40342,31899
Australian Average,External appointments,Non-managers,771858,841135
Australian Average,External appointments,Top level management,3115,2346
